"persid","hhid","age_band","age_group","age_group_2","sex","work_status","work_full","study_full","occupation_cat","industry_cat","TRAVYEAR","REGION","SA1_CODE_2021","participant_wt","ses"
"100441/1001",100441,"25-29 years",7,27,"male","employed","Yes",NA,NA,"Transport, Postal and Warehousing",2021,"Greater Brisbane","31104157114",311.684387207031,"5"
"100485/1000",100485,"55-59 years",13,57,"female","employed","Yes",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing",2021,"Greater Brisbane","31003128745",151.029312133789,"3"
"100485/1001",100485,"60-64 years",14,62,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31003128745",126.624420166016,"3"
"100486/1000",100486,"50-54 years",12,52,"female","employed","Yes",NA,"Clerical and Administrative Worker","Financial and Insurance Services",2021,"Greater Brisbane","30101100401",100.969757080078,"6"
"100486/1001",100486,"55-59 years",13,57,"male","employed","Yes",NA,"Professional","Agriculture, Forestry and Fishing",2021,"Greater Brisbane","30101100401",125.77254486084,"6"
"100486/1002",100486,"20-24 years",6,22,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30101100401",133.524215698242,"6"
"100486/1003",100486,"15-19 years",5,17,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30101100401",100.53645324707,"6"
"100488/1000",100488,"35-39 years",9,37,"female","employed","Yes",NA,"Clerical and Administrative Worker","Education and Training",2021,"Greater Brisbane","30101100401",101.994979858398,"6"
"100488/1001",100488,"35-39 years",9,37,"male","employed","Yes",NA,"Professional","Health Care and Social Assistance",2021,"Greater Brisbane","30101100401",97.0498886108398,"6"
"100489/1000",100489,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30101100401",76.3799514770508,"6"
"100489/1001",100489,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30101100401",74.8938827514648,"6"
"100495/1000",100495,"50-54 years",12,52,"male","employed","Yes",NA,"Professional","Manufacturing",2021,"Greater Brisbane","30101100401",111.144454956055,"6"
"100495/1001",100495,"45-49 years",11,47,"female","employed","Yes",NA,"Managers","Retail Trade",2021,"Greater Brisbane","30101100401",122.150421142578,"6"
"100499/1000",100499,"65-69 years",15,67,"female","employed","No",NA,"Sales Workers","Retail Trade",2021,"Greater Brisbane","30103101622",330.075256347656,"7"
"100500/1000",100500,"40-44 years",10,42,"male","employed","Yes",NA,"Community and Personal Service Workers","Health Care and Social Assistance",2021,"Greater Brisbane","30103101622",556.5546875,"7"
"100514/1000",100514,"65-69 years",15,67,"male","employed","Yes",NA,NA,"Transport, Postal and Warehousing",2021,"Greater Brisbane","31302136609",241.350006103516,"1"
"100514/1001",100514,"60-64 years",14,62,"female","employed","Yes",NA,"Managers","Retail Trade",2021,"Greater Brisbane","31302136609",249.79345703125,"1"
"100514/1002",100514,"40-44 years",10,42,"male","employed","Yes",NA,"Technicians and Trades Worker","Manufacturing",2021,"Greater Brisbane","31302136609",283.161804199219,"1"
"100515/1000",100515,"45-49 years",11,47,"male","employed","No",NA,"Labourers","Agriculture, Forestry and Fishing",2021,"Greater Brisbane","31302136609",412.569610595703,"1"
"100515/1001",100515,"40-44 years",10,42,"female","employed","No",NA,"Sales Workers","Transport, Postal and Warehousing",2021,"Greater Brisbane","31302136609",460.510681152344,"1"
"100519/1000",100519,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31302136609",193.443954467773,"1"
"100544/1000",100544,"70-74 years",16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","31106133202",152.748306274414,"7"
"100545/1000",100545,"45-49 years",11,47,"female","employed","Yes",NA,"Sales Workers","Rental, Hiring and Real Estate Services",2021,"Greater Brisbane","31106133202",303.152160644531,"7"
"100545/1001",100545,"50-54 years",12,52,"male","employed","Yes",NA,"Technicians and Trades Worker","Construction",2021,"Greater Brisbane","31106133202",205.661956787109,"7"
"100545/1002",100545,"20-24 years",6,22,"male","employed","No","Full time","Professional","Education and Training",2021,"Greater Brisbane","31106133202",237.361145019531,"7"
"100545/1003",100545,"15-19 years",5,17,"female","employed","No","Full time","Sales Workers","Retail Trade",2021,"Greater Brisbane","31106133202",232.997085571289,"7"
"100569/1000",100569,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101315",74.8938827514648,"4"
"100569/1001",100569,"70-74 years",16,72,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30102101315",68.7407379150391,"4"
"100570/1000",100570,"45-49 years",11,47,"male","employed","Yes",NA,"Sales Workers","Other Services",2021,"Greater Brisbane","30103101622",493.00732421875,"7"
"100571/1000",100571,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30103101622",437.736572265625,"7"
"100571/1001",100571,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30103101622",351.451293945312,"7"
"100573/1000",100573,"65-69 years",15,67,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30103101622",330.075256347656,"7"
"100577/1000",100577,"50-54 years",12,52,"male","employed","Yes",NA,"Labourers","Agriculture, Forestry and Fishing",2021,"Greater Brisbane","30103101622",488.224273681641,"7"
"100577/1001",100577,"45-49 years",11,47,"female","employed","Yes",NA,"Community and Personal Service Workers","Other Services",2021,"Greater Brisbane","30103101622",587.36279296875,"7"
"100578/1000",100578,"20-24 years",6,22,"female","unemployed","No","Full time","Not in Work Force","Not in Work Force",2021,"Greater Brisbane","30103101622",964.146118164062,"7"
"100578/1001",100578,"50-54 years",12,52,"female","employed","No",NA,"Technicians and Trades Worker","Other Services",2021,"Greater Brisbane","30103101622",545.808776855469,"7"
"100578/1002",100578,"45-49 years",11,47,"male","employed","Yes",NA,"Technicians and Trades Worker","Professional, Scientific and Technical Services",2021,"Greater Brisbane","30103101622",552.430297851562,"7"
"83110/1000",83110,"45-49 years",11,47,"female","employed","No",NA,"Clerical and Administrative Worker","Other Services",2020,"Greater Brisbane","31304137319",519.730773925781,"6"
"83110/1001",83110,"45-49 years",11,47,"male","employed","Yes",NA,"Technicians and Trades Worker","Other Services",2020,"Greater Brisbane","31304137319",533.046752929688,"6"
"83112/1000",83112,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",146.185394287109,"6"
"83112/1001",83112,"75-79 years",17,77,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",146.185394287109,"6"
"83114/1000",83114,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",171.396911621094,"6"
"83114/1005",83114,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",171.396911621094,"6"
"83115/1000",83115,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",249.79345703125,"6"
"83115/1001",83115,"60-64 years",14,62,"male","employed","Yes",NA,"Technicians and Trades Worker","Manufacturing",2020,"Greater Brisbane","31304137319",227.791702270508,"6"
"83115/1002",83115,"25-29 years",7,27,"male","employed","Yes",NA,"Community and Personal Service Workers","Accommodation and Food Services",2020,"Greater Brisbane","31304137319",704.755065917969,"6"
"83118/1000",83118,"70-74 years",16,72,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",171.396911621094,"6"
"83118/1001",83118,"80-84 years",18,82,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",213.465911865234,"6"
"83125/1000",83125,"65-69 years",15,67,"male","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",151.590209960938,"6"
"83125/1001",83125,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",156.893493652344,"6"
"83129/1000",83129,"60-64 years",14,62,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",156.893493652344,"6"
"83129/1001",83129,"55-59 years",13,57,"male","employed","Yes",NA,"Machinery Operators and Drivers","Transport, Postal and Warehousing",2020,"Greater Brisbane","31304137319",261.203918457031,"6"
"83130/1000",83130,"60-64 years",14,62,"male","employed","Yes",NA,"Professional","Other Services",2020,"Greater Brisbane","31304137319",182.576873779297,"6"
"83132/1000",83132,"55-59 years",13,57,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",285.437072753906,"6"
"83132/1001",83132,"60-64 years",14,62,"male","employed","Yes",NA,"Professional","Other Services",2020,"Greater Brisbane","31304137319",227.791702270508,"6"
"83132/1002",83132,"25-29 years",7,27,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",571.256774902344,"6"
"83135/1000",83135,"80-84 years",18,82,"female","unemployed","No",NA,"Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",242.680282592773,"6"
"83136/1000",83136,"50-54 years",12,52,"male","employed","Yes",NA,"Technicians and Trades Worker","Construction",2020,"Greater Brisbane","31304137319",402.633728027344,"6"
"83136/1001",83136,"50-54 years",12,52,"female","employed","Yes",NA,"Community and Personal Service Workers","Education and Training",2020,"Greater Brisbane","31304137319",422.304656982422,"6"
"83136/1002",83136,"30-34 years",8,32,"male","unemployed","No","Full time","Not in Work Force","Not in Work Force",2020,"Greater Brisbane","31304137319",623.173278808594,"6"
