persid,cluster_id,household_id,participant_id,age_band,sex,year,trip_id,trip_purpose,participant_wt,trips_wt,trip_mode,trip_duration,trip_distance,day_type,trip_id_2,age_group,dist_cat
100132/1001,NA,100132,35,15-19 years,female,21,126,Leisure,423.662170410156,423.662170410156,pedestrian,30,0.87,weekday,2,15 to 19,<1km
100132/1001,NA,100132,35,15-19 years,female,21,127,Shopping,423.662170410156,423.662170410156,pedestrian,20,0.65,weekday,3,15 to 19,<1km
100132/1001,NA,100132,35,15-19 years,female,21,128,Shopping,423.662170410156,423.662170410156,pedestrian,20,0.65,weekday,4,15 to 19,<1km
100144/1000,NA,100144,36,60-64 years,male,21,129,Work,441.761657714844,441.761657714844,pedestrian,45,1.41,weekday,1,40 to 64,1-2km
100144/1000,NA,100144,36,60-64 years,male,21,130,Work,441.761657714844,441.761657714844,pedestrian,15,0.35,weekday,2,40 to 64,<1km
100144/1000,NA,100144,36,60-64 years,male,21,131,Work,441.761657714844,441.761657714844,bus,10,1.15,weekday,2,40 to 64,1-2km
100144/1000,NA,100144,36,60-64 years,male,21,132,Work,441.761657714844,441.761657714844,pedestrian,5,0.34,weekday,2,40 to 64,<1km
100146/1001,NA,100146,37,45-49 years,male,21,133,Work,455.289733886719,455.289733886719,car,30,13.35,weekday,1,40 to 64,>10km
100146/1001,NA,100146,37,45-49 years,male,21,134,Work,455.289733886719,455.289733886719,car,40,13.63,weekday,2,40 to 64,>10km
100157/1000,NA,100157,38,45-49 years,male,21,135,Other,167.788757324219,167.788757324219,car,22,16.85,weekday,1,40 to 64,>10km
100157/1000,NA,100157,38,45-49 years,male,21,136,Work,167.788757324219,167.788757324219,car,18,5.53,weekday,2,40 to 64,6-10km
100157/1000,NA,100157,38,45-49 years,male,21,137,Work,167.788757324219,167.788757324219,car,30,12.19,weekday,3,40 to 64,>10km
100157/1001,NA,100157,39,45-49 years,female,21,138,Work,163.545227050781,163.545227050781,car,50,23.49,weekday,1,40 to 64,>10km
100157/1001,NA,100157,39,45-49 years,female,21,139,Shopping,163.545227050781,163.545227050781,car,10,3.94,weekday,2,40 to 64,3-5km
100157/1001,NA,100157,39,45-49 years,female,21,140,Work,163.545227050781,163.545227050781,car,10,3.92,weekday,3,40 to 64,3-5km
100157/1001,NA,100157,39,45-49 years,female,21,141,Work,163.545227050781,163.545227050781,car,40,23.38,weekday,4,40 to 64,>10km
100157/1005,NA,100157,40,75-79 years,female,21,142,Shopping,158.734878540039,158.734878540039,car,30,9.3,weekday,1,65 plus,6-10km
100157/1005,NA,100157,40,75-79 years,female,21,143,Other,158.734878540039,158.734878540039,car,30,8.47,weekday,2,65 plus,6-10km
100157/1005,NA,100157,40,75-79 years,female,21,144,Other,158.734878540039,158.734878540039,car,50,16.86,weekday,3,65 plus,>10km
100158/1000,NA,100158,41,55-59 years,male,21,145,Other,132.476211547852,132.476211547852,car,5,1.8,weekday,1,40 to 64,1-2km
100158/1000,NA,100158,41,55-59 years,male,21,146,Other,132.476211547852,132.476211547852,car,15,7.82,weekday,2,40 to 64,6-10km
100158/1000,NA,100158,41,55-59 years,male,21,147,Shopping,132.476211547852,132.476211547852,car,15,5.25,weekday,3,40 to 64,6-10km
100158/1000,NA,100158,41,55-59 years,male,21,148,Shopping,132.476211547852,132.476211547852,car,15,8.62,weekday,4,40 to 64,6-10km
100158/1001,NA,100158,42,40-44 years,female,21,149,Other,119.332992553711,119.332992553711,car,5,1.8,weekday,1,40 to 64,1-2km
100158/1001,NA,100158,42,40-44 years,female,21,150,Other,119.332992553711,119.332992553711,car,15,7.82,weekday,2,40 to 64,6-10km
100158/1001,NA,100158,42,40-44 years,female,21,151,Shopping,119.332992553711,119.332992553711,car,15,5.25,weekday,3,40 to 64,6-10km
100158/1001,NA,100158,42,40-44 years,female,21,152,Shopping,119.332992553711,119.332992553711,car,15,8.62,weekday,4,40 to 64,6-10km
100158/1001,NA,100158,42,40-44 years,female,21,153,Other,119.332992553711,119.332992553711,bicycle,5,1.67,weekday,5,40 to 64,1-2km
100158/1001,NA,100158,42,40-44 years,female,21,154,Other,119.332992553711,119.332992553711,bicycle,5,1.67,weekday,6,40 to 64,1-2km
100159/1000,NA,100159,43,60-64 years,male,21,155,Shopping,93.5367965698242,93.5367965698242,pedestrian,10,0.35,weekday,1,40 to 64,<1km
100159/1000,NA,100159,43,60-64 years,male,21,156,Shopping,93.5367965698242,93.5367965698242,pedestrian,15,0.35,weekday,2,40 to 64,<1km
100159/1001,NA,100159,44,55-59 years,female,21,157,Shopping,94.9781875610352,94.9781875610352,pedestrian,10,0.35,weekday,1,40 to 64,<1km
100159/1001,NA,100159,44,55-59 years,female,21,158,Shopping,94.9781875610352,94.9781875610352,pedestrian,15,0.35,weekday,2,40 to 64,<1km
100181/1000,NA,100181,45,45-49 years,female,21,159,Other,544.801513671875,544.801513671875,car,20,4.83,weekday,1,40 to 64,3-5km
