"persid","cluster_id","household_id","participant_id","age_band","sex","year","trip_id","trip_purpose","participant_wt","trips_wt","trip_mode_base","trip_duration_base","trip_distance_base","day_type","trip_id_2","age_group","dist_cat","trip_mode_scen","trip_distance_scen","trip_duration_scen","trip_duration_base_hrs","trip_duration_scen_hrs"
"90400/1000",NA,90400,4231,"45-49 years","male",21,14850,"Leisure",108.944473266602,108.944473266602,"car",0.5,11.66,"weekday",3,"40 to 64",">10km","car",11.66,0.5,3.5,3.5
"90401/1000",NA,90401,4232,"30-34 years","male",21,14851,"Other",145.704574584961,145.704574584961,"car",0.7,16.79,"weekday",1,"20 to 39",">10km","car",16.79,0.7,4.9,4.9
"90401/1000",NA,90401,4232,"30-34 years","male",21,14852,"Other",145.704574584961,145.704574584961,"car",0.4,16.07,"weekday",2,"20 to 39",">10km","car",16.07,0.4,2.8,2.8
"90401/1000",NA,90401,4232,"30-34 years","male",21,14853,"Shopping",145.704574584961,145.704574584961,"car",0.0833333333333333,1.77,"weekday",3,"20 to 39","1-2km","bicycle",1.77,0.160909090909091,0.583333333333333,1.12636363636364
"90401/1000",NA,90401,4232,"30-34 years","male",21,14854,"Shopping",145.704574584961,145.704574584961,"car",0.1,1.75,"weekday",4,"20 to 39","1-2km","bicycle",1.75,0.159090909090909,0.7,1.11363636363636
"90401/1000",NA,90401,4232,"30-34 years","male",21,14855,"Shopping",145.704574584961,145.704574584961,"car",0.133333333333333,2.23,"weekday",5,"20 to 39","3-5km","car",2.23,0.133333333333333,0.933333333333333,0.933333333333333
"90401/1000",NA,90401,4232,"30-34 years","male",21,14856,"Shopping",145.704574584961,145.704574584961,"car",0.0666666666666667,2.27,"weekday",6,"20 to 39","3-5km","car",2.27,0.0666666666666667,0.466666666666667,0.466666666666667
"90401/1001",NA,90401,4233,"30-34 years","female",21,14857,"Work",111.729713439941,111.729713439941,"car",0.4,7.9,"weekday",1,"20 to 39","6-10km","car",7.9,0.4,2.8,2.8
"90401/1001",NA,90401,4233,"30-34 years","female",21,14858,"Work",111.729713439941,111.729713439941,"car",0.416666666666667,7.85,"weekday",2,"20 to 39","6-10km","car",7.85,0.416666666666667,2.91666666666667,2.91666666666667
"90402/1000",NA,90402,4234,"30-34 years","male",21,14859,"Work",94.9313201904297,94.9313201904297,"car",1,51.22,"weekday",1,"20 to 39",">10km","car",51.22,1,7,7
"90402/1000",NA,90402,4234,"30-34 years","male",21,14860,"Work",94.9313201904297,94.9313201904297,"car",0.983333333333333,51.04,"weekday",2,"20 to 39",">10km","car",51.04,0.983333333333333,6.88333333333333,6.88333333333333
"90402/1001",NA,90402,4235,"30-34 years","female",21,14861,"Leisure",72.7955856323242,72.7955856323242,"walking",0.416666666666667,1.04,"weekday",1,"20 to 39","1-2km","walking",1.04,0.416666666666667,2.91666666666667,2.91666666666667
"90402/1001",NA,90402,4235,"30-34 years","female",21,14862,"Leisure",72.7955856323242,72.7955856323242,"walking",0.333333333333333,1.04,"weekday",2,"20 to 39","1-2km","walking",1.04,0.333333333333333,2.33333333333333,2.33333333333333
"90404/1000",NA,90404,4236,"25-29 years","male",21,14863,"Work",117.837989807129,117.837989807129,"car",0.416666666666667,21.33,"weekday",1,"20 to 39",">10km","car",21.33,0.416666666666667,2.91666666666667,2.91666666666667
"90404/1000",NA,90404,4236,"25-29 years","male",21,14864,"Work",117.837989807129,117.837989807129,"car",0.75,21.46,"weekday",2,"20 to 39",">10km","car",21.46,0.75,5.25,5.25
"90404/1001",NA,90404,4237,"25-29 years","female",21,14865,"Other",131.627136230469,131.627136230469,"car",0.166666666666667,2.34,"weekday",1,"20 to 39","3-5km","car",2.34,0.166666666666667,1.16666666666667,1.16666666666667
"90404/1001",NA,90404,4237,"25-29 years","female",21,14866,"Other",131.627136230469,131.627136230469,"car",0.166666666666667,2.33,"weekday",2,"20 to 39","3-5km","car",2.33,0.166666666666667,1.16666666666667,1.16666666666667
"90404/1001",NA,90404,4237,"25-29 years","female",21,14867,"Other",131.627136230469,131.627136230469,"car",0.25,2.34,"weekday",3,"20 to 39","3-5km","car",2.34,0.25,1.75,1.75
"90404/1001",NA,90404,4237,"25-29 years","female",21,14868,"Other",131.627136230469,131.627136230469,"car",0.25,2.33,"weekday",4,"20 to 39","3-5km","car",2.33,0.25,1.75,1.75
"90406/1000",NA,90406,4238,"55-59 years","male",21,14869,"Work",86.312614440918,86.312614440918,"car",0.25,4.52,"weekday",1,"40 to 64","3-5km","car",4.52,0.25,1.75,1.75
"90406/1000",NA,90406,4238,"55-59 years","male",21,14870,"Work",86.312614440918,86.312614440918,"car",0.25,4.45,"weekday",2,"40 to 64","3-5km","car",4.45,0.25,1.75,1.75
"90406/1000",NA,90406,4238,"55-59 years","male",21,14871,"Work",86.312614440918,86.312614440918,"car",0.75,22.01,"weekday",3,"40 to 64",">10km","car",22.01,0.75,5.25,5.25
